id_number	mz	rtime	neg-12C14N-3-0ev	neg-12C14N-1-0ev	neg-12C14N-2-0ev
F1789	180.9941	683.74	170640	245373	236303
F9602	181.014	675.03	1833162	1819061	1792569
F1800	181.0365	1195.13	51337	37007	43930
F1801	181.0385	803.18	367212	466069	416956
F1807	181.0445	531.46	279798	311602	321559
F1812	181.0504	746.01	4993831	5169499	5077501
F1813	181.0603	718.37	1752589	1681874	1744483
F1828	181.0633	649.84	299344	374922	347699
F1827	181.0633	422.89	190806	256538	245412
F1826	181.0633	178.1	96177	69253	93845
F1834	181.0699	646.9	13142277	13974342	13933956
F1839	181.0715	709.03	195402040	197802211	195552296
F1838	181.0715	682.57	75630049	75623735	76626202
F1837	181.0715	508.32	2094070	1914719	1962724
F1836	181.0715	481.11	949754	943694	959350
F1841	181.098	252.13	211059	229925	176584
F1846	181.1231	170.1	720960	684244	494831
F10268	181.9375	843.14	0	3541	0
F1856	181.9471	893.38	54795	87465	68960
F1857	181.9762	810	1292941	1160454	1088846
F1862	181.9916	138.44	830364	1016997	840439
F1867	182.0093	805.46	110745399	104979964	109319164
F1895	182.0256	455.96	1115734	1105882	1053998
F1897	182.0434	635.12	1837005	1928139	1929956
F1896	182.0434	610.92	225669	141844	230520
F1899	182.0491	455.96	533099	509270	517948
F1901	182.0538	744.82	388629	335218	406179
F1911	182.0568	678.51	4382528	3271919	3906601
F1913	182.0568	1188.01	2383713	1962955	2309045
F1912	182.0568	861.13	3671	772620	5891
F1914	182.0568	1195.13	189357	143155	195875
F1916	182.0586	861.13	878094	0	797802
F1917	182.0707	646.32	649241	711600	570523
