id_number	mz	rtime	posi-Yeast-12C14N-a	posi-Yeast-12C14N-b	posi-Yeast-12C14N-c	posi-Yeast-13C14N-a	posi-Yeast-13C14N-b	posi-Yeast-13C14N-c
F9059	645.2718	149.44	15425125	18511098	19802212	20346021	20500955	23924120
F8802	640.497	153.86	23174917	22394817	21927852	22793026	19327033	13386841
F1770	327.257	168.67	14780418	14330763	14099623	15136082	15124389	14532533
F7499	384.2954	166.85	671282932	676571990	677731864	737099158	713222060	726035656
F8481	580.4406	152.07	22541724	25949604	24399187	21995870	20570738	25129684
F5879	497.2586	168.67	12728929	12707627	13255991	15038033	14928211	15234814
F4530	403.142	703.36	0	0	0	76981263	84184088	86887813
F8443	634.5038	140.93	14562164	18409901	15665245	18521890	16247807	17119496
F5372	412.3267	166.85	34202349	35725136	36049231	41053264	39901999	41687807
F4170	399.252	146.83	51141433	54068065	53969756	41542907	41104926	42137698
F8867	587.4491	146.83	17732241	19829919	25597870	24945975	21491702	23384268
F11458	703.2135	138.82	11651044	16785489	19757427	14384275	18735069	23075494
F8853	642.3221	149.44	27858233	29576087	27924977	29098183	29983920	26792382
F7141	428.3216	167.76	15259124	15684403	15020504	17489743	17205361	18018914
F6245	458.3325	171.5	38309739	36840412	39099388	42519578	40968316	42850572
F5208	488.307	238.79	25181835	31804631	39553880	23432834	27051053	33916471
F8883	738.5351	157.74	12340262	11412745	8134149	19625027	20040547	18652655
F7439	430.3526	145.95	20352352	20359798	22006416	20811732	20909253	18771714
F8598	393.259	149.44	3305202	2834830	3264857	28947665	28077176	24374761
F10963	616.4623	158.76	376062268	391643050	390686824	436617725	432287246	429747202
F10469	607.9591	149.44	21144449	21025182	19669233	21879755	23103251	20622254
F5925	417.2274	152.07	52538139	53558236	50052555	59587204	54119739	54505996
F9929	849.6322	154.79	27740767	27516289	27848984	29193388	30223629	30060573
F10734	612.4306	148.57	18924629	20412352	19577397	26010892	25630829	23922235
F10191	548.4432	171.5	0	0	0	23016275	22094767	22295150
F1838	287.1491	167.76	41243929	40212922	40932088	47675133	42576843	45205256
F9586	657.504	156.73	30819351	34123629	31652660	13412482	12369534	10443772
F8749	586.3067	165.91	117896018	120544308	126238372	131557370	130495451	130769399
F10320	605.4428	152.96	15158440	16769685	16402631	17477152	20228463	17576422
F9885	600.3748	140.93	13670559	14614194	13161480	16413109	15126298	15457096
F1485	325.205	157.74	25942661	25077717	24925175	26976832	25716236	24629293
F6490	461.2789	186.61	26266453	27916007	31619163	22798274	27005572	29703699
F4888	484.348	152.96	93079741	97327460	98563324	104565717	101691167	103232622
F4378	480.1576	141.99	14876376	21193054	25384503	27309739	34256463	36718827
F11173	695.5115	155.75	13902914	16495131	12022662	20373111	22385260	21934514
F6534	504.4263	145.04	10242839	12018520	12485129	10155218	11357469	10909235
F10812	557.409	155.75	0	0	25422484	24746639	0	27531644
F10102	885.3672	138.82	10863437	9795191	13718254	5752369	7815748	6780735
F7773	518.421	140.93	10955155	11239684	10763457	11654764	12689649	12272979
F9961	601.3261	172.51	24605012	28539997	34123454	25238209	29536318	34296160
F11450	624.4674	153.86	16807210	18772010	19772377	22435749	16249084	19988293
F8379	578.9373	151.18	19053649	12225476	19624961	22223901	22904237	18374737
F4120	398.363	140.93	16087511	16472351	15649843	14656933	15074033	13947912
F6410	460.2756	238.79	135313571	153520557	171158519	143218804	155207462	175970724
F6983	426.3139	164.92	12518496	12283325	12171279	14037210	12952480	13575037
F7582	472.3479	168.67	14183508	13562248	14628908	16504032	15082635	15144856
F9408	774.5553	147.7	11771263	15830617	14611462	17389053	16286963	16384035
F12292	522.3557	171.5	21967265	21363246	21412359	0	0	0
F5969	498.3274	165.91	77331908	77562098	79784808	95046538	92959395	94001725
F7046	427.3093	154.79	23999821	24853538	25233639	23567976	24666676	25247743
F8837	587.3101	165.91	29946353	31400041	32985172	36229192	33902502	34979940
F2758	298.2653	152.07	26495705	28896048	28073713	11166620	10744032	12073143
F11678	708.5108	137.77	10464349	10914573	13376239	9573502	10026244	11919144
F6330	372.1903	820.99	0	0	0	50111518	49884653	44758967
F1810	226.0751	646.35	49260957	51215436	51025995	243132	288633	556640
F6127	418.683	682.38	0	0	0	63695437	67370126	75052611
F5597	414.2636	146.83	13935029	15363868	13975855	12198345	11750503	13247820
F9545	540.3746	147.7	13950655	13957671	14031188	14376193	15177659	13572047
F9127	646.4714	156.73	19435519	19984431	18887774	21526370	22001828	20398715
F7644	517.3913	149.44	10023419	10698272	13310870	9585292	7069684	13416167
F3267	304.1471	151.18	18363044	18171400	17606710	21244131	20502459	19155952
F4798	483.3527	162.88	16386143	15925343	16607891	19381601	17788597	18655818
F9977	664.4574	139.87	19171402	20376270	19576785	17572775	18623506	18552269
F12293	522.3557	411.94	27579405	27795408	27819221	0	0	0
F534	270.1284	427.22	42717092	48163803	51344661	16762813	17183876	17966123
F1084	211.0832	421.76	91378449	93179945	94144658	23732617	24026619	24356701
F10849	614.4464	153.86	57354357	57802553	60325790	72415811	69076824	68772520
F10007	546.4368	147.7	10435267	11720014	11584403	11513309	13084917	11803932
F7288	514.3586	162.88	49973865	47549155	49603830	49897735	50645056	50735526
F8935	741.5544	157.74	0	10784972	7904957	13472702	9844146	7806525
F9684	542.3535	166.85	48418111	47081758	48884169	63468535	59913044	61954005
F4970	485.3992	140.93	10060670	12642112	15374879	16076593	15657890	15303687
F10661	681.4829	139.87	11760586	11971395	12878277	11303116	11992116	11926014
F7685	433.372	145.95	0	17567141	0	13896941	16278704	12329024
F9786	661.2458	149.44	21995029	9393417	13079584	17408614	10421782	12637053
F11409	566.4622	149.44	14836638	16656970	15170767	16154356	16750659	15957144
F13187	642.2536	642.9	66991807	73281038	71844825	0	0	0
F2903	339.2206	154.79	20511866	19128379	18502603	21245452	20549926	18479438
F6136	419.1515	421.76	49394751	53199881	50704352	3188192	3310157	3423686
F6707	506.349	152.96	14430730	13872667	15716485	15960359	16511763	16914134
F7883	435.3941	157.74	0	4759827	7881967	13297929	34108874	33703801
F9748	543.3205	167.76	14325118	15590026	16453651	17141869	17777576	18405493
F11835	573.251	150.31	266173459	324960046	348875212	336465567	347984396	372888871
F3363	180.1362	1010.54	6470	421866	587182	473001613	475988827	471003154
F11041	561.4167	149.44	15769979	19760174	19184570	23001312	20327556	19986815
F4664	482.3323	148.57	26239626	28061129	27831671	26515968	27123692	26972287
F8570	393.1946	148.57	335908856	336172155	336697001	402916598	396352558	368060452
F6882	464.3941	146.83	16535227	0	18195311	12077654	0	13813938
F8897	588.3163	146.83	24949752	26844090	24143437	24432394	25895684	23542416
F2373	293.2305	157.74	24309817	26690511	23843053	10276866	9414026	9815169
